date,event_description,location,category
1790-03-01,"Ряд поражений русских войск в Финляндии.",Финляндия,Война
1790-07-02,"Выборгское морское сражение - сражение в Выборгском заливе двух русских эскадр с шведским флотом в ходе Русско-шведской войны 1788—1790 годов.",Выборгский залив,Война
1790-07-02,"Морской бой на Роченсальмском рейде 2 - 9 июля 1790 г. - Роченсальмское сражение (в ходе русско-шведской войны 1788—1790 годов). между гребными флотами России и Швеции.","Роченсальмский рейд",Война
1790-07-19,"Разгром в Керченском морском сражении русским флотом турецкого. Это не дало возможности высадить десант турецких войск в Крыму","Керченский пролив",Война
1790-08-01,"Шведы берут реванш у Свенсксунда.",Свенсксунд,Война
1790-08-01,"Снятие русским флотом блокады турецкими войсками Дуная","р. Дунай",Война
1790-08-14,"Между Россией и Швецией подписан Верельский мирный договор.",Верель,Дипломатия
1790-09-08,"Победа русского флота над турецким при Тендре",Тендра,Война
1790-12-22,"С восходом солнца началась подготовка штурма Измаила, штурм произошел 11 декабря.",Измаил,Война
1790-01-01,"Указ Екатерины II о возвращении всех русских из Франции.","Россия/Франция",Политика
1790-01-01,"Выпуск Радищевым книги ""Путешествие из Петербурга в Москву"". Арест Радищева и приговор его к смертной казни. Замена ссылкой на 10 лет в Сибирь",Россия,"Общество/Право"
1791-08-26,"В саксонском замке Пильниц принята Пильницкая декларация, которая явилась основой австро-прусского союзного договора (февраль 1792), положившего начало коалиции европейских монархов, объединившихся для противодействия французской революции.","Замок Пильниц, Саксония","Дипломатия/Политика"
1791-09-03,"Франция. Принятие Учредительным собранием Конституция Франции 1791 года","Париж, Франция","Право/Политика"
1791-12-16,"Смерть Григория Потемкина.",,Персоналии
1792-01-09,"Русско-турецкий мирный договор в Яссах, подтверждающий условия Кючук-Кайнарджийского мира, а также признающий присоединение к России Крыма и уступающий ей Очаковскую степь.",Яссы,Дипломатия
1792-02-07,"В Берлине подписан Австро-прусский союзный договор","Берлин, Пруссия",Дипломатия
1792-04-01,"В Польше русская партия образует в Тарговицах конфедерацию: конституция 3 мая 1791 отменена, и подготовка к войне прекращена.","Тарговица, Польша","Политика/Война"
1792-05-18,"Русские войска входят в Польшу.",Польша,Война
1792-09-20,"Победа революционных войск при Вальми (см. сражение у Вальми). В тот же день открылся Национальный конвент.","Вальми, Франция","Война/Политика"
1792-12-11,"Король Франции ЛЮДОВИК XVI предстал перед судом Конвента.","Париж, Франция","Политика/Право"
1793-01-12,"Россия и Пруссия договариваются о втором разделе Польши.",,"Дипломатия/Политика"
1793-01-23,"Второй раздел Польши. Россия приобретает территорию юго-западнее Двины (Центральную Белоруссию с Минском и часть Волыни) и Подолию.","Польша/Россия/Пруссия","Политика/Дипломатия"
1793-02-08,"После казни Людовика XVI Екатерина II отказывается от всех договоров, заключенных с Францией.","Россия/Франция","Политика/Дипломатия"
1793-03-10,"Начало контрреволюционного восстания в Вандее и Бретани (см. статью Вандейские войны)","Вандея/Бретань, Франция","Восстание/Война"
1793-03-25,"Договор о дружбе и финансовой помощи с Англией.","Россия/Англия",Дипломатия
1793-05-31,"Началось восстание в Париже (с 31 мая по 2 июня), в результате которого жирондисты были изгнаны из конвента и установилась Якобинская диктатура.","Париж, Франция","Восстание/Политика"
1793-06-24,"Франция. Принятие Конвентом новой Конституции Франции 1793 года","Париж, Франция","Право/Политика"
1793-09-01,"Екатерина II признает графа Прованского регентом королевства. Все находящиеся в России французы обязаны дать подписку о неприятии принципов революции.",Россия,Политика
1794-01-01,"Екатерина собирает совет из высших чиновников империи и объявляет о своем намерении лишить права наследования престола великого князя Павла на основании его дурного характера и отсутствия способностей. Она назначает наследником своего внука Александра.",Россия,Политика
1794-03-01,"Начало польского восстания против оккупантов.",Польша,Восстание
1794-04-04,"24 марта Тадеуш Костюшко наносит поражение русским войскам под Рацлавицами. Нападение на русский гарнизон в Варшаве.","Рацлавицы/Варшава, Польша","Восстание/Война"
1794-04-22,"11 апр. Восстание в Вильне.","Вильно (Вильнюс), Литва",Восстание
1794-06-01,"Произошло Уэссанское сражение в Атлантике между английской и франц. эскадрами","Атлантический океан (о. Уэссан)","Война/Флот"
1794-10-10,"29 сент. Русско-прусские войска разбивают патриотов Костюшко при Мациевицах.","Мациевицы, Польша","Война/Восстание"
1794-11-04,"24 окт. А.В. Суворов занимает Прагу, предместье Варшавы. Город сдается. Конец польского восстания.","Прага (предместье Варшавы), Польша","Война/Восстание"
1795-08-22,"Франция. (5 фрюктидора III г.) Принята Конституция Франции 1795 года","Париж, Франция","Право/Политика"
1795-10-24,"13 окт. Третий раздел Польши: Россия получает Курляндию, Самогитию, оставшуюся часть Литвы, Белоруссии и Волыни.","Польша/Россия/Пруссия/Австрия","Политика/Дипломатия"
1795-11-25,"14 нояб. Отречение Станислава II Понятовского.",Гродно,"Общество/Политика"
1796-11-17,"(по ст. стилю 06.11) Умерла Екатерина II (урожденная немецкая принцесса Софья Фредерика Августа Анхальт-Цербстская)","Санкт-Петербург, Россия",Персоналии
1797-04-16,"Коронация императора Павла І в Москве. Своим первым указом Павел отменил установленный Петром І порядок престолонаследия по завещанию и ввел наследование по праву первородства по мужской линии.","Москва, Россия","Политика/Право"
1798-08-01,"Произошло морское сражение между англичанами и французами у острова Абукир.","о. Абукир, Египет","Война/Флот"
1799-02-18,"Русский флот взял штурмом остров Корфу.","о. Корфу, Ионические острова","Война/Флот"
1799-04-26,"(по юлианскому календарю 15 апреля) Началось сражение на реке Адда (15—17 апреля 1799 г.) между русско-австрийской армией и французскими войсками.","р. Адда, Италия",Война
1799-06-18,"А.В. Суворов в сражении на реке Треббия разгромил французскую армию.","р. Треббия, Италия",Война
1799-08-15,"А.В.Суворов одержал победу над французами в сражении при Нови.","Нови, Италия",Война
1799-11-09,"Переворот 18 брюмера во Франции. Наполеон Бонапарт становится Первым консулом, фактически сосредоточив в своих руках власть.","Париж, Франция","Политика/Переворот"
1799-12-10,"Во Франции введена метрическая система.",Франция,"Наука/Реформы"
1801-03-23,"(по юлианскому календарю - 11 - 12 марта) Убийство Павла І. Граф Пален, Зубов и Бенигсен при согласии Александра І организуют заговор, чтобы заставить Павла І отречься, но убивают его в Михайловском замке.","Санкт-Петербург, Россия","Политика/Переворот"
1801-03-01,"Донские казаки (22.500 человек), направленные 31 декабря (12 января) в Индию дошли до Иргиза (после смерти Павла І повернули назад).","р. Иргиз, Россия","Война/Политика"
1801-01-01,"Начало царствования Александра І.",Россия,Политика
1801-06-15,"Петербургская морская конвенция между Россией и Великобританией. Установление дружеских отношений Великобритании с Россией, отмена эмбарго на передвижение английских кораблей Россией","Санкт-Петербург, Россия",Дипломатия
1801-01-01,"Право крестьян-собственников в России приобретать в собственность, продавать, завещать и дарить ненаселенные земли.",Россия,"Право/Реформы"
1801-04-11,"(по юлианскому календарю - 30 марта) Начало работы ""Непременного совета"" из 12 человек при императоре России Александре І (1801-1810)","Санкт-Петербург, Россия",Политика
1801-04-14,"(по юлианскому календарю - 2 апреля) Восстановлены жалованные грамоты дворянству и городам.",Россия,"Право/Реформы"
1801-04-14,"(по юлианскому календарю - 2 апреля) Начало работы ""Негласного комитета"" при императоре России Александре I (1801-1803) - Николай Новосильцев, Павел Строганов, Виктор Кочубей, Адам Чарторыйский.","Санкт-Петербург, Россия",Политика
1801-06-09,"(по юлианскому календарю - 28 мая) Указ Александра I о запрещении публиковать в газетах объявления о продаже крепостных без земли.",Россия,"Право/Реформы"
1801-06-15,"Включение в состав России ""Бакинской области""","Баку/Азербайджан",Политика
1801-08-30,"Поражение Наполеона в Египте",Египет,Война
1801-09-12,"К России отошли земли на северо-востоке Каспия (пески Сам, полуостров Бузачи, Усть-Урт)","Прикаспийский регион",Политика
1801-10-08,"(по юлианскому календарю - 26 сентября) Парижский мирный договор между Россией и Францией","Париж, Франция",Дипломатия
1801-12-24,"(по юлианскому календарю - 12 декабря) Отменена монополия государства и дворянства на владение недвижимостью. Простолюдины получают право покупать незаселенные земли.",Россия,"Право/Реформы"
1802-01-01,"Наполеон Бонапарт обвенчался со своей женой Жозефиной (гражданский брак был заключен ранее).","Париж, Франция",Персоналии
1802-03-25,"Заключен Амьенский мирный договор между Францией и Великобританией, завершивший войну Второй коалиции. Наступил короткий период мира в Европе.","Амьен, Франция","Дипломатия/Война"
1802-05-01,"Акт между Россией и Туркменией",,Дипломатия
1802-09-20,"(по юлианскому календарю - 8 сентября) Манифест об учреждении 8-ми министерств: военного, морского, иностранных дел, юстиции, внутренних дел, финансов, нар. просвещения, коммерции. Расширение прав сената по контролю за соблюдением законности и управления страной","Санкт-Петербург, Россия","Политика/Реформы"
1802-05-03,"(по юлианскому календарю - 21 апреля) Открытие Дерптского университета","Дерпт (Тарту), Эстония",Образование
1802-01-01,"Создание особого министерства народного образования",Россия,"Политика/Реформы"
1802-09-15,"Включение в состав России Аварского ханства","Дагестан, Россия",Политика
1802-01-01,"Назначение Н.П. Румянцева министром коммерции России",Россия,Политика
1803-02-05,"(по юлианскому календарю - 24 января) Учреждение в России пяти учебных округов во главе с попечителями.",Россия,"Образование/Реформы"
1803-01-01,"Началось кругосветного путешествия кораблей ""Надежда"" и ""Нева"" под командованием И.Ф. Крузенштерна и Ю.Ф. Лисянского (продолжалось с 1803 по 1806 гг.)","Кронштадт/Мировой океан","Наука/Экспедиция"
1803-01-01,"Устав Московского университета разрешил иметь четыре факультета: нравственных и политических наук; физических и математических наук; медицинских наук; словесных наук","Москва, Россия","Образование/Реформы"
1803-01-01,"Снятие запрета на открытие ""вольных типографий"" в России",Россия,"Право/Общество"
1803-01-01,"Учреждение в Петербурге Публичной библиотеки","Санкт-Петербург, Россия","Культура/Образование"
1803-01-01,"Конец работы ""Негласного комитета"" при императоре России Александре І (1801-1803)","Санкт-Петербург, Россия",Политика
1803-01-01,"Основание Заемного банка в России",Россия,Экономика
1803-03-04,"(по юлианскому календарю - 20 февраля) Указ о свободных хлебопашцах: помещики могут отпускать своих крепостных с наделами. За время царствования Александра І указом смогли воспользоваться лишь 47.000 крестьян (выкупили свободу с землей).",Россия,"Право/Реформы"
1803-01-01,"Завоевание Мегрелии (Мингрелии) на Кавказе.","Мегрелия, Грузия","Война/Политика"
1803-01-01,"Устав Виленского университета и Академии наук","Вильно (Вильнюс), Литва",Образование
1803-11-01,"Начался поход русской армии на Гянджу (1803—1804 гг.).","Гянджа, Азербайджан",Война
1803-05-18,"Великобритания разрывает Амьенский мир и объявляет войну Франции. Возобновление Наполеоновских войн.","Лондон, Великобритания","Политика/Война"
1804-01-01,"Начало войны между Россией и Персией.",Кавказ,Война
1804-01-01,"На Кавказе русские владения распространяются на Имеретию, Гурию, Гянджинское ханство, присоединена Грузия, что вызвало войну между Россией и Персией",Кавказ,"Политика/Война"
1804-04-01,"Петербургское соглашение о союзе Великобритании и России по антифранцузской коалиции","Санкт-Петербург, Россия",Дипломатия
1804-01-01,"Расстрел во Франции герцога Энгиенского из рода Бурбонов по обвинению в заговоре. Обострение отношений между Францией и Россией","Венсен, Франция",Политика
1804-05-18,"Сенат провозглашает Наполеона Бонапарта императором французов Наполеоном I.","Париж, Франция",Политика
1804-07-01,"Смягчен закон о цензуре.",Россия,"Право/Реформы"
1804-01-01,"Учреждение Харьковского и Казанского университетов","Харьков/Казань, Россия",Образование
1804-11-17,"(по юлианскому календарю - 5 ноября) Введение университетского устава в России. Установление автономий университетов, выборность ректора и деканов",Россия,"Образование/Реформы"
1804-12-02,"Коронация Наполеона I в соборе Парижской Богоматери в присутствии Папы Римского Пия VII.","Париж, Франция","Политика/Церемония"
1804-12-21,"(по юлианскому календарю - 9 декабря) Закон О устройстве Евреев: им предоставлена свобода вероисповедания, но установлена черта оседлости в западных областях.",Россия,"Право/Реформы"
1805-01-17,"Открыт первый университет на Украине в Харькове","Харьков, Украина",Образование
1805-01-01,"Россия разорвала с Францией и присоединилась к третьей антифранцузкой коалиции.","Россия/Франция","Дипломатия/Война"
1805-01-01,"Война третьей антифранцузской коалиции с Францией",Европа,Война
1805-04-11,"(по юлианскому календарю - 30 марта) Русско-английская союзная конвенция. 9 августа (28 июля) к конвенции присоединилась Австрия.","Санкт-Петербург, Россия",Дипломатия
1805-07-01,"Оборона на реке Аскерань: в районе Карабахского хребта (Закавказье) в июне — июле 1805 г. русский отряд под командованием полковника Карягина (500 чел.) сумел задержать наступление на Грузию персидской армии","р. Аскерань, Карабах",Война
1805-08-09,"Австрия присоединяется к русско-английскому союзу. Сформирована Третья антифранцузская коалиция (Россия, Великобритания, Австрия, Швеция, Неаполитанское королевство).","Вена, Австрия","Дипломатия/Война"
1805-09-07,"Родился писатель Олекса Стороженко",,Персоналии
1805-09-23,"(по юлианскому календарю - 11 сентября) Возобновился русско-турецкий союз.",,Дипломатия
1805-01-01,"Война России и Австрии с Наполеоном.",Европа,Война
1805-10-05,"Произошло окружение австрийской армии под Ульмом","Ульм, Бавария",Война
1805-10-20,"Капитуляция австрийской армии генерала Мака под Ульмом перед армией Наполеона.","Ульм, Бавария",Война
1805-10-21,"Трафальгарское сражение. Британский флот под командованием адмирала Нельсона одержал решающую победу над франко-испанским флотом, обеспечив господство Британии на море. Нельсон погиб в сражении.","мыс Трафальгар, Испания","Война/Флот"
1805-10-25,"Начался так называемый Ульмско-Ольмюцкий марш-маневр Кутузова - отступательный марш-манёвр корпуса М. И. Кутузова из района Браунау (вост. Ульма, Австрия) в Ольмюц (ныне Оломоуц, Чехословакия), проведённый с 13(25) октября по 10(22) ноября.","Австрия/Чехия",Война
1805-10-31,"(по юлианскому календарю - 19 октября) У населённого пункта Мерзбах в Австрии (вблизи г. Линц), произошёл бой между французскими войсками и войсками союзников, в т. ч. и русскими.","Мерзбах (у Линца), Австрия",Война
1805-11-04,"Битва у Шенграбена между французской и русской армиями","Шенграбен, Австрия",Война
1805-11-05,"(по юлианскому календарю - 24 октября) Началось сражение Амштеттене между французским авангардом и русским арьергардом в ходе Русско-французской войны 1805 года.","Амштеттен, Австрия",Война
1805-11-10,"(по юлианскому календарю - 29 октября) В ходе русско-австро-французской войны 1805 года у населенного пункта Дюренштейн в Австрии. произошло сражение между русскими отрядами под командованием генералов М.А.Милорадовича и Д.С.Дохтурова (21 тыс. чел.) и французским корпусом под командованием маршала Э.А. Мортье (25 тыс. чел.).","Дюренштейн, Австрия",Война
1805-11-11,"(по юлианскому календарю - 30 октября) Победа Кутузова в сражении под Кремсом","Кремс, Австрия",Война
1805-12-02,"(по юлианскому календарю - 20 ноября) Поражение русских и австрийцев в сражении при Аустерлице ('Битва трёх императоров').","Аустерлиц, Моравия (ныне Славков-у-Брна, Чехия)",Война
1805-12-26,"Прессбургский мирный договор между Францией и Австрией. Австрия признала завоевания Наполеона, уступила территории и вышла из Третьей коалиции.","Прессбург (ныне Братислава, Словакия)","Дипломатия/Война"
1805-01-01,"Покорение Карабаха и Ширвана.","Карабах/Ширван, Азербайджан","Война/Политика"
1806-01-01,"Началась Адриатическая экспедиция (1806–1807) — переход русской эскадры под командованием адмирала Д. Н. Сенявина из Балтийского в Адриатическое море и ее боевые действия в Адриатике в ходе войны второй коалиции против наполеоновской Франции.","Адриатическое море","Война/Флот"
1806-01-01,"Открытие в России ""Общество заводчиков"".",Россия,Экономика
1806-06-01,"Союз Пруссии с Россией.",,Дипломатия
1806-01-01,"Начало войны между Россией и Турцией (1806 -1812). Взяты Баку и Дербент.","Кавказ/Османская Империя",Война
1806-01-01,"Возвышение Сперанского",Россия,Политика
1806-01-01,"Четвертая антифранцузкая коалиция (1806 - 1807)",Европа,"Дипломатия/Война"
1806-01-01,"Окончание кругосветного путешествия кораблей ""Надежда"" и""Нева"" под командованием И.Ф. Крузинштейна и Ю.Ф. Лисянского (1803 - 1806)","Мировой океан","Наука/Экспедиция"
1806-07-12,"Образование Рейнского союза под протекторатом Наполеона из 16 германских государств. Священная Римская империя фактически прекратила существование.","Париж, Франция",Политика
1806-10-14,"Сражения при Йене и Ауэрштедте. Наполеон разгромил прусскую армию при Йене, маршал Даву разбил основные силы пруссаков при Ауэрштедте. Пруссия выведена из войны.","Йена / Ауэрштедт, Саксония",Война
1806-11-01,"(по юлианскому календарю - ноябрь) Возобновился русско-турецкий конфликт: русские войска заняли придунайские провинции, после чего Турция объявила войну России.","Придунайские княжества",Война
1806-11-21,"(по юлианскому календарю - 9 ноября) Наполеон объявил в Берлине ""континентальную блокаду"" Англии, к которой Россия вынуждена была присоединиться после поражения при Аустерлице.","Берлин, Пруссия","Политика/Экономика"
1806-12-26,"(по юлианскому календарю - 14 декабря) Сражение при Голымине между французской армией и русскими войсками в ходе русско-прусско-французской войны 1806-1807 годов.","Голымин, Польша",Война
1807-01-01,"Манифест Александра І о расширении прав купечества",Россия,"Право/Экономика"
1807-01-01,"Создан комитет по охране общей безопасности. М.М. Сперанский стал главным советником Александра І по всем делам управления и законодательства.",Россия,"Политика/Реформы"
1807-02-07,"(по юлианскому календарю - 26 - 27 января) В Сражении под Прейсиш-Эйлау (Восточная Пруссия) между русско-прусской и французской армиями ни одна из сторон не достигла решающего успеха.","Прейсиш-Эйлау, Восточная Пруссия (ныне Багратионовск, Россия)",Война
1807-05-20,"(по юлианскому календарю - 8 мая) Начались боевые действия на острове Тенедос (ныне турецкий остров Бозджаада) между русскими и турецкими войсками","о. Тенедос (Бозджаада), Османская империя",Война
1807-05-22,"(10-11 мая по юлианскому календарю) Началось Дарданелльское морское сражение между русской Средиземноморской эскадрой и турецким флотом в районе Дарданелл.",Дарданеллы,"Война/Флот"
1807-06-05,"(по юлианскому календарю - 24 мая) Произошло сражение между русской армией и французским корпусом при Гутштадте в ходе Русско-прусско-французской войны 1806—1807 годов.","Гутштадт (Добре Място), Пруссия",Война
1807-06-10,"(по юлианскому календарю - 29 мая) Произошло сражение при Гейльсберге между французской и русской армиями","Гейльсберг (Лидзбарк-Варминьски), Пруссия",Война
1807-06-14,"(по юлианскому календарю - 2 июня) В Битва при Фридланде между русско-прусской и французской армиями французы одержали победу и после этого навязали перемирие, а затем Тильзицкий мир.","Фридланд, Восточная Пруссия (ныне Правдинск, Россия)",Война
1807-06-19,"Состоялось Афонское морское сражение между русским и турецким флотами","Афон (Эгейское море)","Война/Флот"
1807-06-25,"(по юлианскому календарю - 13 - 14 июня) Встреча Александра I и Наполеона в Тильзите на Немане.","Тильзит, р. Неман",Дипломатия
1807-06-30,"(по юлианскому календарю - 18 июня) Сражение на реке Арпачай в Армении между турецкой армией под командованием Юсуфпаши (20 тыс. чел.) и русским войском под командованием генерала И.В. Гудовича (7 тыс. чел.). (Русско-турецкая война, 1806—1812).","р. Арпачай, Армения",Война
1807-07-07,"(по юлианскому календарю - 25 июня) Тильзитский мир между Россией и Францией. Россия признала Великое герцогство Варшавское, получила Белостокскую область.","Тильзит, Восточная Пруссия (ныне Советск, Россия)",Дипломатия
1807-08-24,"(по юлианскому календарю - 12 августа) Русско-турецкое перемирие.",,"Дипломатия/Война"
1807-10-05,"Первое военное столкновение русской эскадры адмирала Д.Н. Сенявина с английским флотом при проходе Гибралтара. Позже русский флот был задержан у Лиссабона и сдан ""на сохранение"" британскому адмиралу Коттону.","Гибралтар/Лиссабон","Война/Флот"
1807-11-07,"(26 октября по юлианскому календарю) Россия разорвала дипломатические отношения с Англией. Началась Морская война Англии с Россией (см. ст. Англо-русская война).","Россия/Англия","Дипломатия/Война"
1808-01-01,"Преобразование в Петербурге Медико-хирургического института в Академию.","Санкт-Петербург, Россия","Образование/Реформы"
1808-02-16,"Узнав о военном союзе Швеции с Англией Александр І объявил войну Швеции (1808 - 1809). В результате этой войны занята Финляндия. О ее включении в состав России объявлено в марте 1908.","Россия/Швеция/Финляндия","Война/Политика"
1808-01-01,"Начало установления дипломатических отношений между Россией и США (1808-1809)","Россия/США",Дипломатия
1808-04-15,"В ходе Русско-шведской войны 1808—1809 годов в районе Револакса, города на северо-западе Финляндии. произошло сражение между шведским войском и русским отрядом","Револакс, Финляндия",Война
1808-05-02,"Мадридское восстание против французской оккупации. Начало широкомасштабной партизанской войны (герильи) в Испании.","Мадрид, Испания","Война/Восстание"
1808-06-05,"Александр І своим указом наложил запрет на привоз в Россию английских товаров.",Россия,"Политика/Экономика"
1808-08-21,"В районе Салми (населенный пункт в западной части Финляндии) произошло сражение между русским корпусом под командованием генерала Н.М. Каменского (11 тыс. чел.) и шведскими войсками под командованием фельдмаршала М. Клингспора. Из-за угрозы удара в тыл шведы отошли к побережью Ботнического залива.","Салми, Финляндия",Война
1808-01-01,"Н.П. Румянцев - министр иностранных дел и государственный канцлер России",Россия,Политика
1808-01-01,"А.А. Аракчеев - военный министр. М.М. Сперанский - руководитель комиссии о составлении законов.",Россия,"Политика/Реформы"
1808-09-14,"(по юлианскому календарю - 2 сентября) В районе населенного пункта Оравайс на берегу Ботнического зал. в Финляндии во время русско-шведской войны 1808-1809 годов произошёл бой между авангардом рус. корпуса и шведско-финскими войсками.","Оравайс, Финляндия",Война
1808-09-27,"(по юлианскому календарю - 15 сентября - 20 октября) Встреча Наполеона с Александром І в Эрфурте - ими подписан русско-французский мирный договор.","Эрфурт, Германия",Дипломатия
1808-09-30,"Эрфуртская союзная конвенция (секретная) между Францией и Россией","Эрфурт, Германия",Дипломатия
1809-03-01,"Александр І созвал сейм финнов, на котором объявил об образовании Великого княжества Финляндского в составе России","Борго (Порвоо), Финляндия",Политика
1809-03-01,"Возобновилась война с Турцией.","Россия/Османская Империя",Война
1809-03-13,"(по юлианскому календарю - 1 марта) Началась Аландская экспедиция - переход русского корпуса под командованием генерала П.И. Багратиона (17 тыс. чел.) по льду Ботнического залива к Аландским островам и берегам Швеции 1—7 марта 1809 г. (Русско-шведская война, 1808—1809).","Ботнический залив",Война
1809-04-01,"Браилов - осада и штурм Браилова корпусом под командованием генерала М.И. Кутузова (8 тыс. чел.) в апреле 1809 г.","Браилов (Брэила), Румыния",Война
1809-04-10,"Австрия, стремясь взять реванш, объявляет войну Франции. Начало войны Пятой коалиции.","Вена, Австрия",Война
1809-07-05,"Битва при Ваграме. Наполеон нанес поражение австрийской армии эрцгерцога Карла.","Ваграм, Австрия",Война
1809-08-08,"В ходе русско-шведской войны, 1808-1809 у города Ратан на северо-западе Швеции произошел бой между русским и шведским отрядами.","Ратан, Швеция",Война
1809-09-04,"В ходе Русско-турецкой войны 1806—1812 годов возле турецкая крепость в Добрудже Рассеват произошло сражение между русской армией и турецким войском.","Рассеват, Добруджа",Война
1809-09-17,"(по юлианскому календарю - 5 сентября) Фридрихсгамский мир между Россией и Швецией. Присоединение Финляндии к России","Фридрихсгам (Хамина), Финляндия",Дипломатия
1809-10-14,"(по юлианскому календарю - 2 октября) Шёнбруннский (Венский) мирный договор между Францией и Австрией. Австрия вновь уступила территории. Большая часть Галиции перешла в Великое герцогство Варшавское, а Тарнопольский округ - к России.","Вена, Австрия",Дипломатия
1809-01-01,"Составление М.М. Сперанским ""Введение к уложению государственных законов"", предусматривающему поэтапный переход к конституционной монархии.",Россия,"Политика/Реформы"
1809-01-01,"Пятая антифранцузкая коалиция",Европа,"Дипломатия/Война"
1810-01-01,"Присоединение Голландии к Франции.","Голландия/Франция",Политика
1810-01-01,"Начало промышленного кризиса во Франции.",Франция,Экономика
1810-01-01,"Покровительственный тариф в России",Россия,"Экономика/Реформы"
1810-01-01,"Конец работы ""Непременного совета"" при императоре России Александре І (1801-1810)",Россия,Политика
1810-01-01,"Новое ""Положение о правилах внешней торговли"" в России",Россия,"Экономика/Реформы"
1810-01-13,"(по юлианскому календарю - 1 января) Учреждение в России Государственного Совета, заменившего Непременный совет. М.М. Сперанский - секретарь Совета, А.А. Аракчеев - директор департамента военных дел Совета.","Санкт-Петербург, Россия","Политика/Реформы"
1810-03-15,"Союзные договоры Франции с Пруссией и Австрией.",,Дипломатия
1810-12-31,"(по юлианскому календарю - 19 декабря) Введены новые таможенные пошлины, которые выгодны для английских товаров, доставляемых судами под нейтральным флагом, и невыгодные для французских товаров, доставляемых по суше, что фактически противоречит ""континентальной блокаде"".",Россия,"Экономика/Политика"
1811-07-05,"Независимость Венесуэлы",Венесуэла,Политика
1811-01-01,"Педагогический институт в Петербурге стал Университетом","Санкт-Петербург, Россия",Образование
1811-01-01,"Захват Великобританией о. Ява, принадлежавший Голандии","о. Ява","Война/Колониализм"
1811-01-01,"Начало Луддитских восстаний в Великобритании",Великобритания,"Общество/Восстание"
1811-10-19,"Основание Императорского Царскосельского лицея под Санкт-Петербургом.","Царское Село, Россия","Образование/Культура"
