date,event_description,location,category
1811-10-01,"В Румынии на левом берегу Дуная у населённого пункта Слободзея (Слобозия, Slobozia), в ходе русско-турецкой войны 1806—1812 гг. русские войска под командованием ген. М. И. Кутузова разгромили турецкую армию великого везира Ахмет-паши","Слободзея, Румыния",Война
1811-01-01,"Окончание строительства Казанского собора в Петербурге","Санкт-Петербург, Россия","Архитектура/Культура"
1811-01-01,"Изгнание мамлюков из Египта",Египет,"Политика/Война"
1812-01-01,"Издание В России ""Учреждение для управления Большой Действующей армией""",Россия,"Война/Право"
1812-02-24,"(по юлианскому календарю - 12 февраля) Парижский договор между Пруссией и Францией. Разрешение Наполеону свободного прохода через территорию Пруссии.","Париж, Франция",Дипломатия
1812-03-11,"Кадисская конституция в Испании","Кадис, Испания","Право/Политика"
1812-03-11,"В Пруссии ""Эдикт о гражданском положении евреев""",Пруссия,"Право/Реформы"
1812-03-29,"М.М. Сперанский, обвиненный в симпатиях к Франции, отправлен в ссылку. Усиление консервативных настроений перед войной.","Санкт-Петербург / Нижний Новгород, Россия",Политика
1812-04-01,"Договор России со Швецией",,Дипломатия
1812-05-01,"Введение в России право торгующим крестьянам на оптовую торговлю.",Россия,"Право/Экономика"
1812-05-28,"Бухарестский мир между Россией и Турцией. В состав России включена Бессарабия.","Бухарест, Валахия",Дипломатия
1812-06-18,"США объявляют войну Великобритании (Война 1812 года).","Вашингтон, США",Война
1812-06-19,"Начало войны между Великобританией и США (1812 - 1814)","Северная Америка",Война
1812-06-24,"(по юлианскому календарю - 12 июня) Вторжение Наполеона в Россию. Великая армия Наполеона (около 450 тыс. человек) переходит реку Неман у Ковно (Каунаса). Начало Отечественной войны 1812 года.","р. Неман / Ковно, Россия (ныне Литва)",Война
1812-07-10,"(по юлианскому календарю - 28 июня) Бой 28 июня 1812 г. между русским арьергардом и французской дивизией у города Вилькомир.","Вилькомир (Укмерге), Литва",Война
1812-07-18,"(6 июля по юлианскому календарю) В городе Эребру, Швеция, подписан мирный договор между Россией и Англией, положивший конец морской войне. В договоре сказано об обязательстве защищать друг друга в случае вступления другой стороны в войну.","Эребру, Швеция",Дипломатия
1812-07-20,"В Великих Луках подписан Договор между Испанией и Россией о совместной борьбе против Франции.","Великие Луки, Россия",Дипломатия
1812-07-22,"Соединение 1 и 2 русских армии под Смоленском","Смоленск, Россия",Война
1812-08-04,"Наступление Наполеона на Смоленск","Смоленск, Россия",Война
1812-08-12,"(по юлианскому календарю - 31 июля) Сражение частей 3-й русской армии с австрийским корпусом возле населенного пункта Городечна.","Городечна, Беларусь",Война
1812-08-16,"Смоленское сражение. После двухдневных боев русская армия под командованием Барклая-де-Толли оставляет горящий Смоленск и продолжает отступление.","Смоленск, Россия",Война
1812-08-17,"Прибытие М.И. Кутузова в действующую армию.","Царёво-Займище, Россия",Война
1812-08-19,"Сражение у Валутиной горы (или при Лубино). Арьергардные бои отступающей русской армии.","Валутина Гора (близ Смоленска), Россия",Война
1812-08-24,"Подготовительные бои перед Бородинским сражением","Шевардино, Россия",Война
1812-08-29,"М. И. Кутузов назначен главнокомандующим русской армией.","Царёво-Займище, Россия","Политика/Война"
1812-09-07,"(по юлианскому календарю - 26 августа) Бородинское сражение. Главное сражение Отечественной войны 1812 года между русской армией Кутузова и Великой армией Наполеона. Обе стороны понесли тяжелейшие потери, Наполеон не смог разгромить русскую армию.","с. Бородино (Московская губ.), Россия",Война
1812-09-13,"Военный совет в Филях. Кутузов принимает решение оставить Москву без боя ради сохранения армии.","д. Фили (Московская губ.), Россия",Война
1812-09-14,"(по юлианскому календарю - 2 сентября) Захват Наполеоном Москвы. Французская армия вступает в оставленную русскую Москву. В городе начинаются пожары.","Москва, Россия",Война
1812-09-15,"Московский пожар охватывает большую часть города. Великая армия лишается продовольствия и зимних квартир.","Москва, Россия","Война/Происшествие"
1812-09-17,"(по юлианскому календарю - 5 сентября) Начался так называемый Тарутинский маневр - переход русской русской армии под командованием генерал-фельдмаршала М.И. Кутузова из Москвы в село Тарутино 17 сентября - 3 октября (5—21 сентября) 1812 г.","Московская/Калужская губ., Россия",Война
1812-09-29,"(по юлианскому календарю - 17 сентября) Начались бои между русскими и участвовавшими на стороне французов прусскими войсками за Мезотен, населённый пункт в Курляндской губернии (ныне Межотне Латвия). Бои продолжались 17-18 (29-30) сентября.","Мезотен (Межотне), Латвия",Война
1812-10-18,"Сражение под Тарутино (или Винково). Авангард Мюрата атакован русскими войсками. Победа укрепила дух русской армии.","р. Чернишня (близ Тарутино), Россия",Война
1812-10-19,"(по юлианскому календарю - 7 октября) Отступление Наполеона из Москвы. Наполеон с главными силами покидает Москву, пытаясь пробиться на юг, к Калуге.","Москва, Россия",Война
1812-10-24,"Сражение за Малоярославец. Ожесточенные бои за город. Русская армия преградила Наполеону путь на Калугу, заставив отступать по разорённой Смоленской дороге.","Малоярославец, Россия",Война
1812-11-03,"(по юлианскому календарю - 22 октября) Произошло сражение русской армии с французской под Вязьмой. Авангард русской армии (Милорадович, Платов) нанес поражение отступающим корпусам Даву, Нея и Богарне.","Вязьма, Россия",Война
1812-11-15,"Сражения под Красным. Серия боев, в ходе которых русская армия нанесла тяжелые потери отступающей Великой армии, особенно корпусу Нея.","Красный (Смоленская губ.), Россия",Война
1812-11-23,"Бегство Наполеона из армии в Париж.","Сморгонь/Париж","Война/Политика"
1812-11-25,"Манифест Александра І об изгнании неприятеля из России и окончание войны",Россия,"Политика/Война"
1812-11-26,"Переправа через Березину. Остатки Великой армии с большими потерями форсируют реку под ударами русских армий Чичагова и Витгенштейна. Катастрофа для французов.","р. Березина (близ Борисова), Россия (ныне Беларусь)",Война
1812-12-02,"Победа Мэдисона в США на президентских выборах",США,Политика
1812-12-05,"Наполеон оставляет остатки армии в Сморгони и уезжает в Париж. Командование передано Мюрату.","Сморгонь, Россия (ныне Беларусь)","Война/Политика"
1812-12-14,"Последние остатки Великой армии переходят Неман, покидая пределы России. Фактическое завершение Отечественной войны 1812 года.","р. Неман / Ковно, Россия (ныне Литва)",Война
1812-12-30,"(по юлианскому календарю - 18 декабря) Соглашение о нейтралитете между Россией и Пруссией - Тауроггенская конвенция.","Таурогген (Таураге), Литва","Дипломатия/Война"
1812-01-01,"Независимость Чили. Хосе Мигель Каррера - первый президент Чили",Чили,Политика
1813-01-13,"Переход русской армии через Неман. Начало Заграничного похода русской армии 1813-1814 гг.","р. Неман",Война
1813-02-27,"(по юлианскому календарю - 15 февраля) Калишский союзный договор между Россией и Пруссией о совместных действиях против Наполеона. Шестая антифранцузская коалиция (1813 - 1814)","Калиш, Польша","Дипломатия/Война"
1813-01-01,"Попытка Испании подчинить Чили","Чили/Испания",Война
1813-03-27,"Освободительная война Пруссии от Наполеона. Русско-прусские войска занимают Дрезден.","Дрезден, Саксония",Война
1813-04-16,"Смерть М.И.Кутузова.","Бунцлау, Пруссия (ныне Болеславец, Польша)","Война/Персоналии"
1813-04-28,"Смерть М. И. Кутузова в Бунцлау (Силезия). Главнокомандующим назначен П. Х. Витгенштейн.","Бунцлау, Пруссия (ныне Болеславец, Польша)","Война/Персоналии"
1813-05-02,"(по юлианскому календарю - 20 апреля) Произошло Лютценское сражение между русско-прусскими войсками и войсками Наполеон. Наполеон нанес поражение союзникам.","Лютцен, Саксония",Война
1813-05-20,"(по юлианскому календарю - 8 мая) Началось сражение при Бауцене (проходило 20 - 21 мая). Наполеон одержал победу над союзниками, но не смог разгромить их армию.","Бауцен, Саксония",Война
1813-06-04,"Перемирие в Плайсвице между Пруссией и Францией.","Плейсвиц, Силезия","Дипломатия/Война"
1813-06-14,"Швеция и Великобритания выступают против Франции.",,"Дипломатия/Война"
1813-06-21,"Сражение под Виторией (Испания). Победа в сражение английских войск над французскими","Витория, Испания",Война
1813-07-12,"Начался Пражский конгресс - мирные переговоры между Россией и Пруссией, с одной стороны, и Францией - с другой, при посредничестве Австрии.","Прага, Австрия (ныне Чехия)",Дипломатия
1813-08-12,"Австрия объявила войну Наполеону.","Прага, Австрия (ныне Чехия)","Дипломатия/Война"
1813-08-26,"Сражение при Дрездене. Наполеон одержал крупную победу над Главной Богемской армией союзников под командованием Шварценберга.","Дрезден, Саксония",Война
1813-08-30,"Сражение под Кульмом. Русский гвардейский корпус Остермана-Толстого и Ермолова остановил и разгромил преследующий корпус Вандама.","Кульм, Богемия (ныне Хлумец, Чехия)",Война
1813-09-01,"Присоединение Австрии к договору между Россией и Пруссией",,Дипломатия
1813-09-06,"Сражение при Денневице. Прусские войска Бюлова при поддержке шведов разбили французский корпус Нея, шедший на Берлин.","Денневиц, Пруссия",Война
1813-10-12,"Независимость Парагвая",Парагвай,Политика
1813-10-16,"(по юлианскому календарю - 4 - 6 октября) ""Битва народов"" при Лейпциге - победа русских, прусских и австрийских войск над французскими. Крупнейшее сражение Наполеоновских войн.","Лейпциг, Саксония",Война
1813-10-19,"Завершение 'Битвы народов' под Лейпцигом. Решительное поражение Наполеона. Союзники занимают Лейпциг. Саксония переходит на сторону коалиции.","Лейпциг, Саксония",Война
1813-11-04,"Распад Рейнского союза",Германия,Политика
1813-11-05,"Гюлистанский мир между Россией и Персией","Гюлистан, Карабах",Дипломатия
1813-11-01,"Независимость Мексики",Мексика,Политика
1813-12-01,"Независимость Голандии","Голландия (Нидерланды)",Политика
1813-12-10,"Сошел со стапелей первый российский пароход ""Елизавета"": имел длину 18 м и был снабжен паровой балансирной машиной мощностью 4 л. с. и бортовыми гребными колесами, курсировал на линии Петербург - Кронштадт.","Санкт-Петербург, Россия","Технологии/Флот"
1813-12-11,"Фердинанд VII - снова король Испании",Испания,Политика
1813-12-29,"(по юлианскому календарю - 17 декабря) Русско-прусская армия под командованием генерала А. Вюртембергского (30 тыс. чел.) взяла город Данциг.","Данциг (Гданьск)","Политика/Война"
1813-01-01,"Восстание в Северном Китае против маньчжурской династии Цин","Северный Китай",Восстание
1814-01-01,"Начало боевых действий на территории Франции. Союзные армии переходят Рейн. Начало кампании 1814 года.","р. Рейн",Война
1814-03-01,"В ходе Заграничного похода русской армии, 1813—1814 годов произошло сражение между армией под командованием императора Наполеона и русско-прусским корпусом вблизи французского города Реймс.","Реймс, Франция",Война
1814-03-10,"В Шомоне (Франция) 10. III (но помечен задним числом - 1. III.) со стороны России, Великобритании, Австрии и Пруссии подписан договор - Шомонский трактат. Стороны договорились вести войну с Наполеоном І до окончательной победы.","Шомон, Франция","Дипломатия/Война"
1814-03-18,"Вступление союзных войск в Париж","Париж, Франция",Война
1814-03-25,"(по юлианскому календарю - 13 марта) Во Франции, в 120 км вост. Парижа, у населенного пункт Фер-Шампенуаз (Fere-Champenoise) произошло сражение между русско-австрийской кавалерией и французскими. пехотными соединениями.","Фер-Шампенуаз, Франция",Война
1814-03-30,"Капитуляция Парижа после сражения у его стен.","Париж, Франция",Война
1814-03-31,"Союзные войска во главе с императором Александром I триумфально вступают в Париж.","Париж, Франция","Война/Политика"
1814-04-06,"Отречение Наполеона. Ссылка Наполеона на остров Эльба. Реставрация династии Бурбонов во Франции","Фонтенбло, Франция",Политика
1814-04-11,"Договор в Фонтенбло. Союзники сохраняют Наполеону титул императора и отдают ему во владение остров Эльба.","Фонтенбло, Франция",Дипломатия
1814-05-03,"Людовик XVIII Бурбон прибывает в Париж. Реставрация монархии во Франции.","Париж, Франция",Политика
1814-05-30,"В Париже между участниками шестой антифранцузской коалиции (Россией, Англией, Австрией и Пруссией) подписан Парижский мирный договор (Первый). Франция возвращается к границам 1792 года.","Париж, Франция",Дипломатия
1814-09-18,"Начало Венского конгресса европейских держав для определения нового устройства Европы после Наполеоновских войн.","Вена, Австрия","Дипломатия/Политика"
1814-10-02,"Захват Испанией Чили","Чили/Испания","Война/Колониализм"
1814-11-29,"Начало массового издания газет в Великобритании",Великобритания,"Общество/Медиа"
1814-12-24,"Гентский мирный договор между Великобританией и США.","Гент, Бельгия",Дипломатия
1814-01-01,"Предложение о переименовании Новой Голандии в Австралию",Австралия,Политика
1814-01-01,"Начало англо-непальской войны","Непал/Индия","Война/Колониализм"
1815-03-01,"Бегство Наполеона с острова Эльба. Начало ""Ста дней""","о. Эльба / Бухта Жуан, Франция","Политика/Война"
1815-03-20,"Наполеон вступает в Париж. Людовик XVIII бежит. Восстановление Империи.","Париж, Франция","Политика/Война"
1815-03-25,"Седьмая антифранцузская коалиция. Державы Венского конгресса объявляют Наполеона вне закона.","Вена, Австрия","Дипломатия/Война"
1815-01-01,"Сто дней Наполеона (20.3.1815 - 22.6.1815)",Франция,"Политика/Война"
1815-06-08,"Образование Германского союза",Германия,Политика
1815-06-09,"(по юлианскому календарю - 28 мая) Венский конгресс принял заключительный Акт и закрылся: Большая часть Герцогства Варшавского присоединена к России под именем Царства Польского (Галиция отошла к Австрии, герцогство Познаньское и Краковская республика - к Пруссии).","Вена, Австрия","Дипломатия/Политика"
1815-06-16,"Сражения при Катр-Бра и Линьи. Наполеон разбил пруссаков Блюхера при Линьи, но Ней не смог разгромить англо-голландцев Веллингтона при Катр-Бра.","Катр-Бра / Линьи, Бельгия",Война
1815-06-18,"Битва при Ватерлоо. Решающее поражение Наполеона от англо-голландской армии Веллингтона и прусской армии Блюхера.","Ватерлоо, Бельгия",Война
1815-06-22,"Наполеон вторично отрекается от престола в Париже.","Париж, Франция",Политика
1815-07-01,"Людовик XVIII - король Франции","Париж, Франция",Политика
1815-07-10,"Образование правительства Франции во главе с Тайлераном и Фуше","Париж, Франция",Политика
1815-07-15,"Наполеон сдается англичанам на борту корабля 'Беллерофон'.","Атлантический океан (близ Рошфора)","Война/Политика"
1815-08-07,"Союзный договор - новая конституция Щвейцарии",Швейцария,"Право/Политика"
1815-09-01,"Отставка Тайлерана. Герцег Ришелье во главе правительства Франции.","Париж, Франция",Политика
1815-09-26,"Создание ""Священного союза"". Подписание Акта монархами России, Австрии и Пруссии с целью поддержания установленного порядка в Европе.","Париж, Франция","Дипломатия/Политика"
1815-10-16,"Наполеон Бонапарт прибывает на остров Святой Елены, место своей последней ссылки.","Остров Святой Елены, Атлантический океан","Политика/Персоналии"
1815-11-20,"(8 ноября по юлианскому календарю ) В Париже между участниками седьмой антифранцузской коалиции (Россией, Англией, Австрией и Пруссией) подписан Парижский мирный договор (Второй). Более суровые условия для Франции: возвращение к границам 1790 г., контрибуция, оккупация части территории.","Париж, Франция",Дипломатия
1815-11-01,"Польское царство в составе России получило свою конституцию","Варшава, Польша/Россия","Право/Политика"
1815-01-01,"Взятие британцами столицы Цейлона Канди. Завоевание Цейлона.","Канди, Цейлон (Шри-Ланка)","Война/Колониализм"
1815-01-01,"Хлебные законы в Великобритании",Великобритания,"Экономика/Право"
1816-02-09,"Основание 'Союза спасения' в Санкт-Петербурге - первой тайной декабристской организации.","Санкт-Петербург, Россия","Общество/Политика"
1816-03-20,"Жуан VI - король Португалии",Португалия,Политика
1816-07-09,"Независимость Аргентины",Аргентина,Политика
1816-12-04,"Монро - пятый президент США.",США,Политика
1816-01-01,"Договор между Великобританией и Непалом о зависимости политики Непала от Великобритании","Великобритания/Непал","Дипломатия/Колониализм"
1817-01-01,"Третья Маратхская война в Индии",Индия,"Война/Колониализм"
1817-01-01,"Начало Россией Кавказкой войны",Кавказ,Война
1818-01-01,"Образование 'Союза благоденствия' - более широкой тайной декабристской организации.","Москва / Санкт-Петербург, Россия","Общество/Политика"
1818-01-01,"Провозглашение независимости Чили",Чили,Политика
1818-09-09,"Подписаны русско-австрийский и русско-прусский Теплицкие союзные договоры, которые оформили союзные отношения держав шестой антифранцузской коалиции.","Теплице, Богемия",Дипломатия
1818-09-30,"(по юлианскому календарю - 18 сентября) В Аахене начал работу Конгресс ""Священного союза"" (См. ст. Аахенский конгресс).","Аахен, Пруссия","Дипломатия/Политика"
1818-01-01,"Образование империи Зулу в Южной Африке","Южная Африка",Политика
1818-01-01,"Занятие войсками США Восточной Флориды","Флорида, США","Война/Политика"
1819-08-07,"Образование Республики Великая Колумбия. Президент Симон Боливар.","Великая Колумбия",Политика
1819-08-01,"Карлстадская конференция.","Карлстад, Швеция",Дипломатия
1819-01-01,"Начало экспедиции М.П.Лазарева и Ф.Ф. Беллинсгаузена к южному полюсу (1819 - 1821).","Кронштадт/Антарктика","Наука/Экспедиция"
1819-01-01,"Чугуевское восстание в России.","Чугуев, Россия",Восстание
1819-01-01,"М.М.Сперанский возвращен из опалы и становится генерал-губернатором Сибири.","Сибирь, Россия",Политика
1820-01-01,"Начало революции в Испании",Испания,Революция
1820-06-01,"Начало революции в Неаполе, Центральной Италии, Пьемонте",Италия,Революция
1820-10-01,"Возмущение Семеновского полка в Петербурге","Санкт-Петербург, Россия","Военное дело/Общество"
1820-01-01,"Начало конгресса ""Священного союза"" в Троппау и Лайбах","Троппау/Лайбах, Австрия","Дипломатия/Политика"
1820-01-01,"Экспедиция М.П.Лазарева и Ф.Ф. Беллинсгаузена открыла Антарктиду",Антарктида,"Наука/Экспедиция"
1820-01-01,"Смерть короля Великобритании Георга III",Великобритания,Персоналии
1820-01-01,"Георг IV - король Великобритании",Великобритания,Политика
1821-01-01,"Начал работу Лайбахский конгресс 1821 года.","Лайбах (Любляна), Австрия","Дипломатия/Политика"
1821-02-24,"Игуальский план в Мексике. Попытка мирного отсоединения Мексики от Испании","Мексика/Испания",Политика
1821-03-06,"Восстание в Греции против Османской империи.","Греция/Османская Империя","Восстание/Война"
1821-05-05,"Смерть Наполеона на острове Святой Елены.","Остров Святой Елены, Атлантический океан",Персоналии
1821-07-28,"Независимость Перу",Перу,Политика
1821-01-01,"Наследник Португальского престола Дон Педру - регент Бразилии","Бразилия/Португалия",Политика
1821-01-01,"Освободительное движение в Дунайских княжествах","Дунайские княжества","Общество/Политика"
1821-01-01,"Съезд ""Союза благодействия"" в Москве","Москва, Россия","Общество/Политика"
1822-01-01,"Провозглашение независимости Греции. Эпидаврский органический статут",Греция,"Политика/Право"
1822-05-19,"Провозглашение генерала Итурбиде императором Мексики под именем Агустина І",Мексика,Политика
1822-05-24,"Присоединение Эквадора к Великой Колумбии","Эквадор/Великая Колумбия",Политика
1822-08-13,"Запрет тайных обществ в России",Россия,"Политика/Право"
1822-09-07,"Дон Педру провозгласил независимость Бразилии от Португалии","Бразилия/Португалия",Политика
1822-10-01,"Введение конституционой монархии в Португалии",Португалия,"Политика/Право"
1822-10-12,"Дон Педру коронован в Бразилии под именем Педру І",Бразилия,Политика
1822-10-20,"Начался Веронский конгресс ""Священного союза"" (с 20 октября по 14 декабря)","Верона, Италия","Дипломатия/Политика"
1822-12-02,"Провозглашение доктрины Монро ""Америка американцам"". Направлена против ""Священного союза"" в его борьбе против независимости стран Латинской Америки. В дальнейшем использовалась для вмешательства США в дела других государств американских континентов",США,"Политика/Дипломатия"
1822-01-01,"Начало возращения из США в Африку освобожденных от рабства негров","США/Африка (Либерия)",Общество
1823-08-20,"Смерть папы Пия VII",Рим,"Персоналии/Религия"
1823-09-28,"Избрание нового папы Льва XII",Рим,"Религия/Политика"
1823-01-01,"Возникновение ""Общества соединенных славян""",Россия,"Общество/Политика"
1823-01-01,"Отречение Августина І от титула императора Мексики",Мексика,Политика
1823-01-01,"Реставрация абсолютизма в Испании. Фердинанд VII - король Испании",Испания,Политика
1823-01-01,"Морганический брак Великого князя Константина с польской графиней И. Грудзинской, что заставило его отречься от престола","Польша/Россия","Политика/Общество"
1823-01-01,"Начало гражданской войны в Греции (1823 -1824)",Греция,Война
1823-12-02,"Президент США Дж. Монро провозгласил декларацию принципов внешней политики США, см. Монро доктрина.",США,"Политика/Дипломатия"
1824-04-17,"Подписан Русско-американский договор об определении границы русских владений в Северной Америке - первый договор между Россией и США.","Санкт-Петербург, Россия",Дипломатия
1824-06-21,"Отмена запрета профсоюзов в Великобритании",Великобритания,"Право/Общество"
1824-10-04,"Мексика провозглашена республикой",Мексика,Политика
1824-10-26,"Открытие Малого театра в Москве","Москва, Россия","Культура/Театр"
1824-11-19,"(по юлианскому календарю - 7 ноября) Крупнейшее в истории Санкт-Петербурга наводнение - уровень воды в Неве поднялся на 4,14 м выше ординара.","Санкт-Петербург, Россия","Происшествие/Природа"
1824-12-09,"Победа генерала Хосе де Сан-Мартина над испанцами. Окончательная независимость Перу от Испании","Аякучо, Перу","Война/Политика"
1824-01-01,"Окончание одной гражданской войны в Греции, начало новой (1824 - 1825)",Греция,Война
1824-01-01,"Снятие ограничений с крестьянской торговли в России",Россия,"Экономика/Реформы"
1825-01-30,"(по юлианскому календарю - 18 января)Открытие Большого театра в Москве","Москва, Россия","Культура/Театр"
1825-02-09,"Шестой президент США Джон Адамс",США,Политика
1825-08-06,"Независимость Боливии",Боливия,Политика
1825-09-27,"Великобритания. Первая железная дорога в мире .",Великобритания,"Технологии/Транспорт"
1825-12-01,"Смерть императора Александра I в Таганроге. Начало периода междуцарствия.","Таганрог, Россия","Политика/Персоналии"
1825-12-13,"(по юлианскому календарю - 1 декабря)Умер император Александр І. Возникла легенда о старце Федоре Кузьмиче, под именем которого до 1864 года якобы скрывался император.","Таганрог, Россия","Персоналии/Политика"
1825-12-01,"Присяга на верность императору Константину. Молчание Константина о своем отказе от престола (см. 1823 год).",Россия,Политика
1825-12-01,"Отказ Константина от престола.",Россия,Политика
1825-12-24,"(по юлианскому календарю - 12 декабря) Вступление на престол Николая I","Санкт-Петербург, Россия",Политика
1825-12-25,"(по юлианскому календарю - 13 декабря) Арест Пестеля","Тульчин, Украина",Политика
1825-12-26,"(по юлианскому календарю - 14 декабря) ""Переприсяга"" императору Николаю І","Санкт-Петербург, Россия",Политика
1825-12-26,"(по юлианскому календарю - 14 декабря) Восстание декабристов на Сенатской площади в Санкт-Петербурге. Попытка государственного переворота подавлена верными Николаю I войсками.","Санкт-Петербург, Россия","Восстание/Политика"
1825-01-01,"Закон о стачках в Великобритании",Великобритания,"Право/Общество"
1825-01-01,"Первый цикличный кризис перепроизводства в Великобритании",Великобритания,Экономика
1826-01-10,"(по юлианскому календарю - 29 декабря 1825 года) Восстание Черниговского полка.","Васильков, Украина","Восстание/Военное дело"
1826-01-15,"(по юлианскому календарю - 3 января) Подавлено восстание Черниговского полка.","с. Устимовка, Украина","Восстание/Военное дело"
1826-04-16,"(по юлианскому календарю - 4 апреля) Петербургский протокол к англо-русскому договору. Решение о совместных действиях по урегулированию греческого вопроса. В дальнейшем присоединение к нему Франции.","Санкт-Петербург, Россия",Дипломатия
1826-06-16,"Конец влияния янычар на власть в Османской империи.","Османская Империя","Политика/Военное дело"
1826-08-04,"(по юлианскому календарю - 23 июля) Вторжение персидских войск в Карабах. Начало новой русско-иранской войны (1826 - 1828)",Карабах,Война
1826-08-06,"(по юлианскому календарю - 25 июля) Казнь декабристов.","Санкт-Петербург, Россия","Политика/Право"
1826-10-07,"(по юлианскому календарю - 25 сентября) Заключение Россией с Портой Аккерманской конвенции.","Аккерман (Белгород-Днестровский)",Дипломатия
1826-01-01,"Введение цензурного устава в России.",Россия,"Право/Политика"
1826-01-01,"Инициатива Бекендорфа по созданию корпуса жандармов и Третьего отделения",Россия,"Политика/Реформы"
1827-01-26,"Независимость Перу от Великой Колумбии","Перу/Великая Колумбия",Политика
1827-07-06,"(по юлианскому календарю - 24 июня) Лондонская конвенциямежду Россией, Великобританией и Францией об автономии Греции и совместных действиях против Османской империи","Лондон, Великобритания",Дипломатия
1827-10-13,"(по юлианскому календарю - 1 октября) Взятие Эривани русскими войсками","Эривань (Ереван), Армения",Война
1827-10-20,"(по юлианскому календарю - 8 октября) Наваринское сражение. Победа англо-франко-русского флота над турецко-египетским. Давление на Турцию по представлению Греции автономии","Наваринская бухта, Греция","Война/Флот"
1827-11-08,"(по юлианскому календарю - 27 октября)Захват Тавриза русскими войсками","Тавриз (Тебриз), Персия",Война
1827-11-01,"Разрыв Портой Аккерманской конвенции. Начало войны между Портой и Россией (1827 - 1929)","Османская Империя/Россия","Дипломатия/Война"
1828-02-22,"(по юлианскому календарю - 10 февраля) В Туркманчае подписан мирный трактат между Россией и Персией. Окончание войны.","Туркманчай, Персия",Дипломатия
1828-03-15,"Начало боевых действий между Портой и Россией на Дунае и на Кавказе","Балканы/Кавказ",Война
1828-07-01,"Осада и взятие русскими войсками в 1828 г. турецкой крепости-порта Варна в Болгарии","Варна, Болгария",Война
1828-01-01,"Новый школьный устав в России",Россия,"Образование/Реформы"
1828-01-01,"Образование мануфактурного совета в России",Россия,"Экономика/Реформы"
1829-01-30,"Нападение в Тегеране на Российское посольство. Смерть А.С. Грибоедова","Тегеран, Персия","Дипломатия/Происшествие"
1829-02-10,"Смерть папы Льва XII",Рим,"Персоналии/Религия"
1829-03-31,"Избрание папой Пия VIII",Рим,"Религия/Политика"
1829-04-13,"Принятие закона по эмансипации католиков в Великобритании",Великобритания,"Право/Религия"
1829-09-14,"(по юлианскому календарю - 2 сентября) Мирный договор между Портой и Россией в Адрианополе. Автономия Греции, Сербии, Валахии в составе Османской империи","Адрианополь (Эдирне), Османская Империя",Дипломатия
1829-01-01,"Первая Всероссийская мануфактурная выставка","Санкт-Петербург/Москва","Экономика/Выставки"